start,stop,num
62,966.3,30.5
966,1866,30.5
1898,2806,30.5
47,943.2,18.5
943.2,1859.4,18.5
1859.5,2699.5,18.5
37,949,30.6
949.5,1826,30.6
1852.4,2765,30.6
38.75,950.5,18.6
951.2,1840,18.6
1865,2775,18.6

75.3,982.2,30.1
982.4,1875,30.1
1898,2807.6,30.1
45,965.5,18.1
965.8,1758.5,18.1
1896.5,2735,18.1
40.1,935,30.2
937.6,1830,30.2
1843.5,2758.5,30.2
35.6,934,18.2
936.975,1809,18.2
1895,2839,18.2

79,823.1,30.3
823,1399.6,30.3
1432.4,1695,30.3
76.5,920,18.3
950.8,1508.6,18.3
1586.6,1756,18.3
60,774.2,30.4
781,1248.5,30.4
1262,1753,30.4
38.8,802.5,18.4
813.4,1353,18.4
1430.4,1767.5,18.4
